Métrica,Valor
MAPE (%),21925.745782987895
MAE (R$),127721.38595429092
RMSE (R$),196947.51786288107
R²,-1.3896240087618708
Ventas Proyectadas Trimestre,8252523.544814729
Crecimiento (%),140.55113101382048
